"Company" "Forward_PE_Ratio" "PEG_Ratio" "Price_Sales_Ratio" "Price_Book_Ratio" "EV_REV_Ratio" "EV_EBITDA_Ratio" "2025-09-02" "2025-09-03" "2025-09-04" "2025-09-05" "2025-09-08" "2025-09-09" "2025-09-10" "2025-09-11" "2025-09-12" "2025-09-15" "2025-09-16" "2025-09-17" "2025-09-18" "2025-09-19" "2025-09-22" "2025-09-23" "2025-09-24" "2025-09-25" "2025-09-26" "2025-09-29" "2025-09-30" "2025-10-01" "2025-10-02" "2025-10-03" "2025-10-06" "2025-10-07" "2025-10-08" "2025-10-09" "2025-10-10" "2025-10-13" "2025-10-14" "2025-10-15" "2025-10-16" "2025-10-17" "2025-10-20" "2025-10-21" "2025-10-22" "2025-10-23" "2025-10-24" "2025-10-27" "2025-10-28" "2025-10-29" "2025-10-30"
"1" "Format" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "AAPL" 28.65 2.23 8.62 43.21 8.56 24.57 229.720001220703 238.470001220703 239.779998779297 239.690002441406 237.880004882812 234.350006103516 226.789993286133 230.029998779297 234.070007324219 236.699996948242 238.149993896484 238.990005493164 237.880004882812 245.5 256.079986572266 254.429992675781 252.309997558594 256.869995117188 255.460006713867 254.429992675781 254.630004882812 255.449996948242 257.130004882812 258.019989013672 256.690002441406 256.480010986328 258.059997558594 254.039993286133 245.270004272461 247.660003662109 247.770004272461 249.339996337891 247.449996948242 252.289993286133 262.239990234375 262.769989013672 258.450012207031 259.579986572266 262.820007324219 268.809997558594 269 269.700012207031 271.399993896484
"3" "DIS" 17.95 0.6 2.04 1.82 2.47 18.91 118.269996643066 117.379997253418 118.809997558594 117.910003662109 118.839996337891 117.370002746582 115.790000915527 117.080001831055 115.959999084473 115.620002746582 115.230003356934 116.099998474121 114.860000610352 113.76000213623 112.559997558594 112.25 113.430000305176 112.98999786377 113.470001220703 114.779998779297 114.5 112.949996948242 112.139999389648 112.470001220703 112.75 112.529998779297 111.889999389648 110.98999786377 109.190002441406 110.269996643066 111.169998168945 111.709999084473 109.879997253418 110.669998168945 111.959999084473 114.300003051758 113.080001831055 113.029998779297 111.680000305176 112.339996337891 111.650001525879 110.23999786377 111.839996337891
"4" "NKE" 26.04 2.92 2.48 8.61 2.44 17.51 74.2900009155273 74.7399978637695 75.3499984741211 73.9100036621094 74.1500015258789 73.5999984741211 74.25 74.3300018310547 73 73.0299987792969 72.75 72.3099975585938 72.0999984741211 70.8899993896484 71.2799987792969 70.9300003051758 71.2200012207031 69.2399978637695 69.3099975585938 69.5500030517578 69.7300033569336 74.1999969482422 74.5699996948242 71.9300003051758 71.1699981689453 68.9100036621094 69.0899963378906 68.0599975585938 65.2200012207031 67.379997253418 67.6399993896484 68.4599990844727 66.8399963378906 67.370002746582 67.620002746582 68.3600006103516 69.0800018310547 69.6800003051758 69.1100006103516 68.5899963378906 67.4300003051758 65.3499984741211 64.9000015258789
